second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
99,201,1.0,131.1365608125925,146.27643069252372,153.45905907452106,qwen15b-npu3=7;qwen15b-npu4=63;qwen15b-npu6=67;qwen15b-npu7=64
100,233,0.9742489270386266,134.37533332034945,161.6594740189612,10160.21231142804,qwen15b-npu3=5;qwen15b-npu4=76;qwen15b-npu5=6;qwen15b-npu6=71;qwen15b-npu7=75
101,247,1.0,130.3175464272499,155.49833280965686,160.57717707008123,qwen15b-npu3=11;qwen15b-npu4=79;qwen15b-npu6=81;qwen15b-npu7=76
102,242,1.0,131.18150224909186,148.74859806150198,160.7292778789997,qwen15b-npu3=8;qwen15b-npu4=78;qwen15b-npu6=76;qwen15b-npu7=80
103,247,1.0,129.56149084493518,151.44423628225923,157.91783900931478,qwen15b-npu3=8;qwen15b-npu4=80;qwen15b-npu6=79;qwen15b-npu7=80
104,244,1.0,130.12636406347156,145.66709799692035,152.78927516192198,qwen15b-npu3=8;qwen15b-npu4=78;qwen15b-npu6=79;qwen15b-npu7=79
105,240,1.0,131.34321197867393,146.80776512250304,154.20175390318036,qwen15b-npu3=8;qwen15b-npu4=78;qwen15b-npu6=78;qwen15b-npu7=76
106,243,1.0,131.3708033412695,154.3502053245902,160.79430794343352,qwen15b-npu3=8;qwen15b-npu4=79;qwen15b-npu6=77;qwen15b-npu7=79
107,238,1.0,133.58822837471962,156.0073159635067,176.24302115291357,qwen15b-npu3=7;qwen15b-npu4=77;qwen15b-npu6=75;qwen15b-npu7=79
108,131,1.0,132.55123095586896,147.12019683793187,148.79582915455103,qwen15b-npu3=6;qwen15b-npu4=18;qwen15b-npu6=54;qwen15b-npu7=53
109,49,1.0,133.73050838708878,139.95810970664024,142.65491720288992,qwen15b-npu3=4;qwen15b-npu6=24;qwen15b-npu7=21
110,204,1.0,135.72676200419664,1979.3377281166613,2013.1003428250551,qwen15b-npu3=6;qwen15b-npu4=103;qwen15b-npu6=48;qwen15b-npu7=47
111,235,1.0,136.60805812105536,152.66306372359395,163.9298489317298,qwen15b-npu3=4;qwen15b-npu4=77;qwen15b-npu6=76;qwen15b-npu7=78
112,238,1.0,135.10956801474094,145.71115793660283,153.36548769846559,qwen15b-npu3=9;qwen15b-npu4=76;qwen15b-npu6=75;qwen15b-npu7=78
113,248,1.0,130.7871090248227,145.7983278669417,149.9337856657803,qwen15b-npu3=9;qwen15b-npu4=79;qwen15b-npu6=82;qwen15b-npu7=78
114,239,1.0,134.68723418191075,149.09578114748,156.84185177087784,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=77;qwen15b-npu7=77
115,242,1.0,133.96769994869828,150.79361107200384,163.43248495832086,qwen15b-npu3=7;qwen15b-npu4=80;qwen15b-npu6=76;qwen15b-npu7=79
116,236,1.0,132.17299804091454,153.0449166893959,157.00367279350758,qwen15b-npu3=8;qwen15b-npu4=75;qwen15b-npu6=77;qwen15b-npu7=76
117,242,1.0,134.46560269221663,155.362862162292,158.42340188100934,qwen15b-npu3=7;qwen15b-npu4=78;qwen15b-npu6=79;qwen15b-npu7=78
