second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
165,240,1.0,132.60706095024943,149.67647613957524,154.61782878264785,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=58;qwen15b-npu7=60
166,236,1.0,138.32214986905456,157.53278927877545,164.47631595656276,qwen15b-npu3=59;qwen15b-npu4=58;qwen15b-npu6=61;qwen15b-npu7=58
167,240,1.0,132.45350122451782,149.6868459507823,154.35797814279795,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=61
168,234,1.0,135.62426203861833,172.7213808335364,187.36535031348467,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=57;qwen15b-npu7=57
169,236,1.0,135.55185217410326,158.95880805328488,167.22250543534756,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=59;qwen15b-npu7=58
170,237,1.0,136.77611900493503,154.19973665848374,159.92312505841255,qwen15b-npu3=57;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=61
171,245,1.0,133.01216484978795,148.17624585703015,153.40619208291173,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=63;qwen15b-npu7=60
172,237,1.0,136.45780785009265,150.243170093745,158.63330708816648,qwen15b-npu3=61;qwen15b-npu4=59;qwen15b-npu6=59;qwen15b-npu7=58
173,240,1.0,136.03380415588617,153.19971973076463,157.6346498914063,qwen15b-npu3=60;qwen15b-npu4=59;qwen15b-npu6=59;qwen15b-npu7=62
174,241,1.0,134.28060291334987,147.17009896412492,151.1900662444532,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=58;qwen15b-npu7=62
175,244,1.0,132.75529304519296,154.95575219392776,163.07946667075157,qwen15b-npu3=60;qwen15b-npu4=63;qwen15b-npu6=63;qwen15b-npu7=58
176,233,1.0,135.70348173379898,154.86117079854012,159.98637583106756,qwen15b-npu3=59;qwen15b-npu4=57;qwen15b-npu6=58;qwen15b-npu7=59
177,245,1.0,132.73023162037134,148.00394512712955,155.88893787935376,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=61;qwen15b-npu7=62
178,242,1.0,129.86125331372023,147.3782006651163,154.47512827813625,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=59
179,243,1.0,133.99395113810897,150.75470367446542,155.95476888120174,qwen15b-npu3=60;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=63
180,239,1.0,135.02945797517896,158.19606371223927,160.13060556724668,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=59
181,240,1.0,133.30332562327385,149.0733423270285,153.79458386451006,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=59;qwen15b-npu7=60
182,241,1.0,134.60833486169577,151.81382093578577,158.48212502896786,qwen15b-npu3=59;qwen15b-npu4=62;qwen15b-npu6=59;qwen15b-npu7=61
183,243,1.0,135.2481390349567,148.33247801288962,153.14665902405977,qwen15b-npu3=61;qwen15b-npu4=60;qwen15b-npu6=61;qwen15b-npu7=61
184,236,1.0,132.8597334213555,156.19221003726125,176.61904683336616,qwen15b-npu3=59;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=58
185,250,1.0,130.4808179847896,147.7629030123353,155.86414793506265,qwen15b-npu3=62;qwen15b-npu4=62;qwen15b-npu6=63;qwen15b-npu7=63
186,244,1.0,129.00132779031992,148.36138719692826,151.5906392596662,qwen15b-npu3=62;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=61
187,244,1.0,131.84368703514338,149.33716412633657,158.20382395759225,qwen15b-npu3=62;qwen15b-npu4=60;qwen15b-npu6=63;qwen15b-npu7=59
188,241,1.0,132.15240836143494,152.1505629643798,158.3876353688538,qwen15b-npu3=60;qwen15b-npu4=62;qwen15b-npu6=58;qwen15b-npu7=61
189,246,1.0,132.8665940091014,155.3686154074967,167.80870826914907,qwen15b-npu3=61;qwen15b-npu4=63;qwen15b-npu6=59;qwen15b-npu7=63
190,246,1.0,130.60500798746943,146.29436377435923,150.2764206379652,qwen15b-npu3=62;qwen15b-npu4=61;qwen15b-npu6=63;qwen15b-npu7=60
191,244,1.0,132.688052020967,150.85155423730612,153.17104011774063,qwen15b-npu3=61;qwen15b-npu4=61;qwen15b-npu6=61;qwen15b-npu7=61
192,245,1.0,130.27369510382414,141.6544420644641,146.75349555909634,qwen15b-npu3=62;qwen15b-npu4=58;qwen15b-npu6=63;qwen15b-npu7=62
193,247,1.0,133.93435021862388,148.43465806916356,152.71922713145614,qwen15b-npu3=61;qwen15b-npu4=64;qwen15b-npu6=61;qwen15b-npu7=61
194,241,1.0,128.5978239029646,150.4921419546008,154.59931874647737,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=59;qwen15b-npu7=59
195,247,1.0,132.7033219859004,149.88963678479195,160.4859190993011,qwen15b-npu3=62;qwen15b-npu4=60;qwen15b-npu6=62;qwen15b-npu7=63
196,240,1.0,133.80274875089526,152.36132498830557,154.96168192476034,qwen15b-npu3=59;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=60
197,244,1.0,132.78203271329403,149.8715477064252,161.2737448886037,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=61
198,242,1.0,131.77178613841534,147.4096206948161,154.67264875769615,qwen15b-npu3=61;qwen15b-npu4=59;qwen15b-npu6=61;qwen15b-npu7=61
199,240,1.0,133.7044690735638,150.89657483622432,157.06109581515193,qwen15b-npu3=59;qwen15b-npu4=62;qwen15b-npu6=61;qwen15b-npu7=58
